Date,Index,VaR95_exc,VaR99_exc,Severity95
2002-05-27,IBEX,0,0,
2002-05-28,IBEX,0,0,
2002-05-29,IBEX,0,0,
2002-05-30,IBEX,0,0,
2002-05-31,IBEX,0,0,
2002-06-03,IBEX,0,0,
2002-06-04,IBEX,1,0,-0.9757511702516042
2002-06-05,IBEX,0,0,
2002-06-06,IBEX,0,0,
2002-06-07,IBEX,0,0,
2002-06-10,IBEX,0,0,
2002-06-11,IBEX,0,0,
2002-06-12,IBEX,1,0,-0.12233790487300622
2002-06-13,IBEX,0,0,
2002-06-14,IBEX,1,0,-0.09270248324135455
2002-06-17,IBEX,0,0,
2002-06-18,IBEX,0,0,
2002-06-19,IBEX,0,0,
2002-06-20,IBEX,0,0,
2002-06-21,IBEX,0,0,
2002-06-24,IBEX,1,0,-1.495664488219914
2002-06-25,IBEX,0,0,
2002-06-26,IBEX,0,0,
2002-06-27,IBEX,0,0,
2002-06-28,IBEX,0,0,
2002-07-01,IBEX,0,0,
2002-07-02,IBEX,1,0,-0.018225674508741907
2002-07-03,IBEX,0,0,
2002-07-04,IBEX,0,0,
2002-07-05,IBEX,0,0,
2002-07-08,IBEX,0,0,
2002-07-09,IBEX,0,0,
2002-07-10,IBEX,0,0,
2002-07-11,IBEX,1,0,-0.3786492012327223
2002-07-12,IBEX,0,0,
2002-07-15,IBEX,1,0,-1.7001169974307357
2002-07-16,IBEX,0,0,
2002-07-17,IBEX,0,0,
2002-07-18,IBEX,0,0,
2002-07-19,IBEX,1,1,-2.0364375831173076
2002-07-22,IBEX,0,0,
2002-07-23,IBEX,0,0,
2002-07-24,IBEX,0,0,
2002-07-25,IBEX,0,0,
2002-07-26,IBEX,0,0,
2002-07-29,IBEX,0,0,
2002-07-30,IBEX,1,0,-1.8760592333320871
2002-07-31,IBEX,0,0,
2002-08-01,IBEX,0,0,
2002-08-02,IBEX,0,0,
2002-08-05,IBEX,0,0,
2002-08-06,IBEX,0,0,
2002-08-07,IBEX,0,0,
2002-08-08,IBEX,0,0,
2002-08-09,IBEX,0,0,
